15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC M21020 821/1P DARK KHAKI 8MM;64;DARK KHAKI;;;;;;;;;DARK KHAKI;M21020;8MM;OK;OK;OK;0
ATAC M21020 746/1P NAVY 8MM;64;746/1;;;;;;;;;746/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 745/1P LIGHT KHAKI 8MM;64;745/1;;;;;;;;;745/1P;M21020;8MM;OK;OK;OK;0
ATAC M21020 100/1P 8MM;64;100/1;;;;;;;;;100/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 RIO RED 8MM;64;RIO RED;;;;;;;;;RIO RED;M21020;8MM;OK;OK;OK;0
ATAC M10046 100 6MM;46;100;;;;;;;;;100;M10046;6MM;OK;OK;OK;0
ATAC M10046 612 6MM;46;612;;;;;;;;;612;M10046;6MM;OK;OK;OK;0
ATAC M21020 753/1P 8MM;64;753/1;;;;;;;;;753/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 805/1P 8MM;64;805/1;;;;;;;;;805/1;M21020;8MM;OK;OK;OK;0
ATAC 6ALF 100/460 6MM;1 - 52 - 3;100 , 460 , 100;;;;;;;;;100/460;6ALF;6MM;OK;OK;OK;0
ATAC M1308 100 8MM;58;100;;;;;;;;;100;M1308;8mm;OK;OK;OK;0
ATAC M10046 451 6MM;46;451;;;;;;;;;451;M10046;6MM;OK;OK;OK;0
ATAC M10046 135 6MM;46;135;;;;;;;;;135;M10046;6MM;OK;OK;OK;0
ATAC M10046 278 6MM;46;278;;;;;;;;;278;M10046;6MM;OK;OK;OK;0
ATAC M8081 2154 DARK SIENA 7MM;40;2154;;;;;;;;;2154;M8081;7MM;OK;OK;OK;0
ATAC M21020 758/1P 8MM;64;758/1;;;;;;;;;758/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 567/1P 8MM;64;567/1;;;;;;;;;567/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 494/1P 8MM;64;494/1;;;;;;;;;494/1;M21020;8MM;OK;OK;OK;0
ELASTICO 16410 140 7MM;20;140;;;;;;;;;140;16410;7MM;OK;OK;OK;0
